# z	mu
1.000000000000000021e-02 3.295388697599999972e+01
1.200000000000000025e-02 3.387900346610000213e+01
1.400000000000000029e-02 3.384214074030000319e+01
1.600000000000000033e-02 3.411856704259999873e+01
1.899999999999999953e-02 3.459344598290000050e+01
2.299999999999999961e-02 3.493902652639999928e+01
2.599999999999999881e-02 3.525209632610000199e+01
3.099999999999999978e-02 3.574850165370000354e+01
3.699999999999999817e-02 3.606978760730000033e+01
4.299999999999999656e-02 3.643457047369999913e+01
5.099999999999999672e-02 3.665111059419999862e+01
5.999999999999999778e-02 3.715801411329999837e+01
7.000000000000000666e-02 3.743017325160000297e+01
8.200000000000000344e-02 3.795661634879999724e+01
9.700000000000000289e-02 3.825325404059999812e+01
1.140000000000000041e-01 3.861286933720000292e+01
1.340000000000000080e-01 3.906785070560000150e+01
1.580000000000000016e-01 3.934140190379999780e+01
1.859999999999999987e-01 3.979214361569999880e+01
2.179999999999999993e-01 4.015653460330000257e+01
2.570000000000000062e-01 4.056495605820000350e+01
3.019999999999999907e-01 4.090528778240000207e+01
3.549999999999999822e-01 4.142141743559999867e+01
4.179999999999999827e-01 4.179092345739999814e+01
4.909999999999999920e-01 4.223146106690000323e+01
5.779999999999999583e-01 4.261704707060000175e+01
6.790000000000000480e-01 4.305273148509999714e+01
7.990000000000000435e-01 4.350415082829999847e+01
9.399999999999999467e-01 4.397257340929999714e+01
1.104999999999999982e+00 4.451408757890000345e+01
1.300000000000000044e+00 4.482186746210000194e+01
